{0.00001, {1.367972100566678*^27, 4.0837528530286404*^26, 1.0980657302272666*^17, 4.50885479601636*^16, 6.018242954260737*^33, 2.4145370070568628*^33, 1.1157519429575134*^32, 3.316222864723945*^32, 2.427965940646543*^33, 8.99533348463976*^32}}
{0.00001584893192461114, {3.897226565281376*^27, 1.0456743027773441*^27, 6.499895113582934*^17, 2.337318495515215*^17, 1.7038419604021176*^34, 6.329592955790826*^33, 2.8868825829821022*^32, 9.42583495689431*^32, 6.886796875247922*^33, 2.3448836324656862*^33}}
{0.000025118864315095822, {9.332871089182599*^27, 2.3783343314708207*^27, 3.568739065423447*^18, 1.190591990091306*^18, 4.116608666964235*^34, 1.5048757698346028*^34, 6.698861845235009*^32, 2.264645115893421*^33, 1.6594882942738537*^34, 5.517792432529439*^33}}
{0.000039810717055349695, {2.4100379049506718*^28, 5.968813930747118*^27, 2.2155138383709667*^19, 7.163336126158766*^18, 1.0820208597838246*^35, 4.0110124290852266*^34, 1.728873105580132*^33, 5.886659086085551*^33, 4.338994035170316*^34, 1.4510232738242218*^34}}
{0.00006309573444801929, {6.2193414239563595*^28, 1.5478232414154335*^28, 1.4462909534368026*^20, 4.697574056755434*^19, 2.7912657575938486*^35, 1.0369062511149328*^35, 4.476725841050236*^33, 1.5189078953440371*^34, 1.1194386920984268*^35, 3.7536570065343324*^34}}
{0.0001, {1.5216775711003925*^29, 3.7579744570998654*^28, 8.806214292581416*^20, 2.850695127958432*^20, 6.828101592338313*^35, 2.5248203023794294*^35, 1.0883954683028634*^34, 3.7160364275040733*^34, 2.7385617490170154*^35, 9.134196484747313*^34}}
{0.00015848931924611142, {3.83451117344418*^29, 9.38224327088409*^28, 5.49625698571059*^21, 1.7614127954876348*^21, 1.72930791654958*^36, 6.41625486754712*^35, 2.7402576893855847*^34, 9.38179179392524*^34, 6.925504924558555*^35, 2.312339103381487*^35}}
{0.0002511886431509582, {9.628483707574676*^29, 2.3553637876351607*^29, 3.465566827109706*^22, 1.1103885656622893*^22, 4.3425743234329105*^36, 1.6111996923811786*^36, 6.880154660497177*^34, 2.3558293371311483*^35, 1.7390754442101734*^36, 5.8062293101252886*^35}}
{0.00039810717055349735, {2.4172238893236392*^30, 5.911040380073142*^29, 2.1842906162247867*^23, 6.996214321532858*^22, 1.0903076523872227*^37, 4.045198520893686*^36, 1.7269989195762614*^35, 5.9145113163129396*^35, 4.3662402712461344*^36, 1.4576218511334073*^36}}
{0.000630957344480193, {6.117853866820222*^30, 1.499718226702971*^30, 1.3922753719375009*^24, 4.4609184606513366*^23, 2.7547412181481753*^37, 1.0204299463279581*^37, 4.369648440471809*^35, 1.4959588448388465*^36, 1.103722988609373*^37, 3.681528018107413*^36}}
{0.001, {1.534594591796566*^31, 3.7585500737224164*^30, 8.761143325684022*^24, 2.804715090646889*^24, 6.9116746296223705*^37, 2.5601051975297433*^37, 1.095664325907549*^36, 3.7527932487267534*^36, 2.7690498933643318*^37, 9.234260953480854*^36}}
{0.001584893192461114, {3.8662362642239755*^31, 9.499512443849847*^30, 5.572912015259404*^25, 1.791390855351007*^25, 1.7440163673188595*^38, 6.4882676697434025*^37, 2.772836466308224*^36, 9.460226740035171*^36, 6.983935103448654*^37, 2.3389207343129585*^37}}
{0.002511886431509582, {9.67760738755393*^31, 2.3725557575376056*^31, 3.492639950483583*^26, 1.1202790099522224*^26, 4.368189290502335*^38, 1.624841842860809*^38, 6.934165928129705*^36, 2.3685515042693273*^37, 1.7489249804908457*^38, 5.853891057865844*^37}}
{0.003981071705534973, {2.430796036456927*^32, 5.953783476540245*^31, 2.199119636354425*^27, 7.037272409467897*^26, 1.0971799638102485*^39, 4.079123559484715*^38, 1.7404144634178375*^37, 5.9492398209450815*^37, 4.39286977045079*^38, 1.4694587591130223*^38}}
{0.006309573444801936, {6.123246579915957*^32, 1.4969204225505523*^32, 1.3856185353153673*^28, 4.4121988570261*^27, 2.76913544629792*^39, 1.031823658715616*^39, 4.388411744318513*^37, 1.4997082449954142*^38, 1.1080743215065679*^39, 3.7121021757206564*^38}}
{0.01, {1.5373197189153097*^33, 3.742588099535358*^32, 8.677689992667913*^28, 2.7468661437107183*^28, 7.000945846725309*^39, 2.63362133662229*^39, 1.108093475638259*^38, 3.775099598061053*^38, 2.79570736550571*^39, 9.432675467070711*^38}}
{0.01584893192461114, {3.8164352691049863*^33, 9.21216038402817*^32, 5.341926990091407*^29, 1.675265892653623*^29, 1.7384103733826754*^40, 6.514244846202676*^39, 2.7336166088518865*^38, 9.372501986553743*^38, 6.94145434455731*^39, 2.3304069208909686*^39}}
{0.025118864315095822, {9.414571163513125*^33, 2.2392416574723682*^33, 3.2413293848966606*^30, 1.0029817626602176*^30, 4.3096625774327657*^40, 1.6168170669818654*^40, 6.710520989377379*^38, 2.3163190211094406*^39, 1.7182980346971322*^40, 5.756765628879958*^39}}
{0.039810717055349734, {2.379566701577209*^34, 5.785340312464923*^33, 2.126506915618168*^31, 6.746221823810278*^30, 1.0835274596687236*^41, 4.0833149674457624*^40, 1.7132144245568255*^39, 5.842404759007586*^39, 4.3263069461194505*^40, 1.45930185327293*^40}}
{0.06309573444801936, {6.096156099521663*^34, 1.5117021681501032*^34, 1.4015001797938417*^32, 4.497865298722861*^31, 2.7403959819276055*^41, 1.0264063607921829*^41, 4.384801474980812*^39, 1.4892299662268673*^40, 1.0980021940887346*^41, 3.688815184781286*^40}}
{0.1, {1.4622117082899123*^35, 3.582219505770165*^34, 8.262665590078691*^32, 2.615339040379176*^32, 6.5344249796953845*^41, 2.433993456799691*^41, 1.0340005019937975*^40, 3.562492573404364*^40, 2.6209707840999578*^41, 8.689883732337449*^40}}
