{0.00001, {9.625301591524824*^15, 2.2082050790419575*^15, 1.249444609358859*^12, 4.039357673757999*^11, 1.0799678666557041*^32, 1.0799592748627778*^32, 1.0799643895845803*^32, 1.079990172801381*^32, 8.639787541792424*^32, 8.639684416763248*^32}}
{0.00001584893192461114, {2.4970353117986132*^16, 5.696558972167775*^15, 8.0822013749616*^12, 2.6048302900544263*^12, 2.7405716642555978*^32, 2.740549349341811*^32, 2.7405625326499377*^32, 2.7406295281675527*^32, 2.1924689017721431*^33, 2.192442108642722*^33}}
{0.000025118864315095822, {6.2657222894822856*^16, 1.4143626623701786*^16, 5.0376389187460766*^13, 1.6239807027107635*^13, 6.942889181908554*^32, 6.942833084326135*^32, 6.942865746085668*^32, 6.943034355285366*^32, 5.554340365147604*^33, 5.55427295311297*^33}}
{0.000039810717055349695, {1.6090259264734915*^17, 3.6556434856997176*^16, 3.274110153706647*^14, 1.0617346209764492*^14, 1.7731748656798192*^33, 1.7731605336903412*^33, 1.773168929934254*^33, 1.7732121309939985*^33, 1.4185473357642146*^34, 1.418530075849448*^34}}
{0.00006309573444801929, {4.124908730177239*^17, 9.416773541486296*^16, 2.1118897563941435*^15, 6.866699357665722*^14, 4.5073666519656727*^33, 4.507330260987571*^33, 4.50735159535576*^33, 4.5074620894952264*^33, 3.6059123454228748*^34, 3.6058682798876057*^34}}
{0.0001, {1.0521166745740261*^18, 2.4056991568343066*^17, 1.3404911192733052*^16, 4.358873446359894*^15, 1.1388651001866204*^34, 1.1388560106699596*^34, 1.1388612753240503*^34, 1.1388893824584758*^34, 9.11096896196104*^34, 9.110857372007772*^34}}
{0.00015848931924611142, {2.703763103807315*^18, 6.237425205978963*^17, 8.503221511303426*^16, 2.7694636241778144*^16, 2.8710309905717632*^34, 2.8710088810894053*^34, 2.8710213659500065*^34, 2.8710930096967566*^34, 2.296836939548004*^35, 2.29680881357927*^35}}
{0.0002511886431509582, {7.09249548857478*^18, 1.6658894607016077*^18, 5.348728978805582*^17, 1.7450312130103235*^17, 7.205533127207776*^34, 7.205482772759419*^34, 7.2055089845916085*^34, 7.205693454881961*^34, 5.764456949624818*^35, 5.7643865022032175*^35}}
{0.00039810717055349735, {1.9880553107994882*^19, 4.856766876316984*^18, 3.3815612689703424*^18, 1.1034700330187366*^18, 1.8106257963477985*^35, 1.8106163065606895*^35, 1.8106197254179436*^35, 1.810669313106671*^35, 1.4485083174928682*^36, 1.448490594250119*^36}}
{0.000630957344480193, {6.2670759709442245*^19, 1.6381211565528353*^19, 2.1323774227713016*^19, 6.959772162575596*^18, 4.541726831400517*^35, 4.541723126174806*^35, 4.541711671557135*^35, 4.5418559441919915*^35, 3.6334008358410944*^36, 3.6333564424829253*^36}}
{0.001, {2.3785050312757667*^20, 6.739152264078055*^19, 1.3419355223149704*^20, 4.378358038128004*^19, 1.1371441461775055*^36, 1.1371558232427484*^36, 1.1371403415632866*^36, 1.1371891220848325*^36, 9.097202533045308*^36, 9.0970912226764*^36}}
{0.001584893192461114, {1.0999024125731*^21, 3.329939727096896*^20, 8.409879110213531*^20, 2.7405940613563653*^20, 2.837386011601494*^36, 2.837494226768135*^36, 2.8373764968223594*^36, 2.837577404539544*^36, 2.2699216820546077*^37, 2.2698938742894425*^37}}
{0.002511886431509582, {5.914208074793771*^21, 1.861237929561235*^21, 5.267441801707261*^21, 1.7141868665966895*^21, 7.110878115313071*^36, 7.111643692929675*^36, 7.110854289421242*^36, 7.111851489662267*^36, 5.688738258825038*^37, 5.6886687720377035*^37}}
{0.003981071705534973, {3.4606938348720096*^22, 1.1091207668539771*^22, 3.299322978489947*^22, 1.0724313436584709*^22, 1.7883995807087317*^37, 1.788901225399768*^37, 1.7883936359027955*^37, 1.7889530715919555*^37, 1.430730946373147*^38, 1.4307136090737088*^38}}
{0.006309573444801936, {2.08777294902604*^23, 6.742071640244991*^22, 2.047834949507275*^23, 6.6513796745240045*^22, 4.425537319976366*^37, 4.4287060142723645*^37, 4.425522568319476*^37, 4.428834342373834*^37, 3.540472665253948*^38, 3.540429741326439*^38}}
{0.01, {1.243797524666072*^24, 4.017579672719196*^23, 1.2341171503280113*^24, 3.99578812418587*^23, 1.0770104030187386*^38, 1.078935792020686*^38, 1.0770067610993207*^38, 1.0789669189477676*^38, 8.616292086460158*^38, 8.616187779920665*^38}}
{0.01584893192461114, {7.359469404845269*^24, 2.3246702317790274*^24, 7.336934970014833*^24, 2.3194543528292257*^24, 2.6841847390780717*^38, 2.6957929142982085*^38, 2.6841767588415787*^38, 2.69586520717094*^38, 2.147533707765964*^39, 2.1475096258331977*^39}}
{0.025118864315095822, {4.3496265411580765*^25, 1.3700445714189088*^25, 4.344276499032739*^25, 1.3688131792109685*^25, 6.2777076632465315*^38, 6.346617676670629*^38, 6.2776884755219345*^38, 6.346789392181237*^38, 5.0232933248638935*^39, 5.023236053893333*^39}}
{0.039810717055349734, {2.3823302382113027*^26, 7.290812654330064*^25, 2.3810927709863375*^26, 7.288090414233383*^25, 1.362965492829574*^39, 1.4012467478220975*^39, 1.3629606167678874*^39, 1.401286611676707*^39, 1.091280423326299*^40, 1.0912670013514093*^40}}
{0.06309573444801936, {1.251278664124303*^27, 3.785646162780934*^26, 1.2510126010463796*^27, 3.785073881117708*^26, 2.925134811665232*^39, 3.1273177327600314*^39, 2.9251238753290425*^39, 3.1274035933379973*^39, 2.3454732702222933*^40, 2.3454442311480473*^40}}
{0.1, {5.813934225990276*^27, 1.7638340918782347*^27, 5.813428504719402*^27, 1.7637283457027138*^27, 5.632011525128384*^39, 6.570501927572532*^39, 5.631989684254317*^39, 6.570665478856664*^39, 4.529839128776764*^40, 4.529783511129304*^40}}
{0.15848931924611143, {2.1027708801368836*^28, 5.878127793939791*^27, 2.102685723935266*^28, 5.877970314984813*^27, 8.679714079084167*^39, 1.219045829172803*^40, 8.679670147080132*^39, 1.2190736073646145*^40, 7.101076934644804*^40, 7.100980420468155*^40}}
