{1584.893192461114, {5.887826945479963*^33, 2.1424728854538172*^27, 3.5310828947954487*^33, 1.7542497249236965*^27, 2.213781424143333*^40, 2.8496786395672983*^40, 1.936982001991665*^38, 1.350687654025846*^39, 9.385525851811571*^39, 4.0325009749896554*^39}}
{2511.886431509582, {3.7180728826598153*^33, 5.391495366839368*^26, 2.230823649108712*^33, 4.416236306781238*^26, 1.3975130501289556*^40, 1.7998778818603825*^40, 1.2227916884300275*^38, 8.528458760818373*^38, 5.925527383904544*^39, 2.5463116852904048*^39}}
{3981.0717055349733, {2.3471831585481097*^33, 1.3558463039895858*^26, 1.4086953100393173*^33, 1.1108589559738739*^26, 8.820545487773569*^39, 1.136384575169838*^40, 7.717839843791126*^37, 5.383562985401689*^38, 3.740213772122622*^39, 1.607401493706671*^39}}
{6309.573444801937, {1.481465493560981*^33, 3.408213559562043*^25, 8.892811615375378*^32, 2.7928124390987503*^25, 5.566516526857135*^39, 7.173043687216938*^39, 4.87064193861617*^37, 3.3977820936742323*^38, 2.360496274137295*^39, 1.0145154480454037*^39}}
{10000., {9.349373817563494*^32, 8.564976519852434*^24, 5.61279178343592*^32, 7.019127376529635*^24, 3.5126825141844685*^39, 4.527054080445553*^39, 3.073570512460561*^37, 2.1442461679644072*^38, 1.4896031305127353*^39, 6.402406650191024*^38}}
{15848.93192461114, {5.8998360043454085*^32, 2.15204819707669*^24, 3.542151847076255*^32, 1.7637435065365685*^24, 2.2165312179872872*^39, 2.856843778602041*^39, 1.939452496811269*^37, 1.3530834150529375*^38, 9.39967892531874*^38, 4.040142103758705*^38}}
{25118.864315095823, {3.722855401653183*^32, 5.406689016301052*^23, 2.2352333055157257*^32, 4.431303938495396*^23, 1.398607669744636*^39, 1.8027320121242908*^39, 1.2237754197812576*^37, 8.537998445942287*^37, 5.931162161526132*^38, 2.549355004582742*^38}}
{39810.71705534977, {2.3490840360710854*^32, 1.3582551552581714*^23, 1.4104504027557839*^32, 1.1132484274055169*^23, 8.824862844381032*^38, 1.1375202339204107*^39, 7.721553981806239*^36, 5.387351336164762*^37, 3.742447007045749*^38, 1.6086093556146389*^38}}
{63095.73444801943, {1.4821334710045617*^32, 3.4120031189617623*^22, 8.899679521551828*^31, 2.796584287226369*^22, 5.566984508054529*^38, 7.177348397592319*^38, 4.868870629726643*^36, 3.3989915897427396*^37, 2.3610636068876816*^38, 1.0148749266140547*^38}}
{100000., {9.33818995748046*^31, 8.5658623529609*^21, 5.611759901659912*^31, 7.021085993855268*^21, 3.49986096748389*^38, 4.5241522231700664*^38, 3.051924631692521*^36, 2.140639672597335*^37, 1.4859837934794642*^38, 6.389464383677816*^37}}
{158489.3192461114, {5.840671317180125*^31, 2.1491963394818853*^21, 3.5305400925549543*^31, 1.7633114153407527*^21, 2.1625510859854684*^38, 2.8370657500452363*^38, 1.867714120305704*^36, 1.3352675914856941*^37, 9.233665898006711*^37, 3.978092578044807*^37}}
