{1584.893192461114, {4.966889883982537*^33, 9.803883387308037*^26, 2.3048581234442577*^33, 5.608699086918783*^26, 2.5444289946544714*^40, 2.537500829477008*^40, 2.6431360385799986*^38, 1.2771990924463826*^39, 9.83148786859014*^39, 4.5475648727185536*^39}}
{2511.886431509582, {3.135423062503696*^33, 2.463837445008397*^26, 1.4549806623358196*^33, 1.4095394889788888*^26, 1.6064906936580967*^40, 1.6021210199242933*^40, 1.6690951080271948*^38, 8.063083459415802*^38, 6.20707065115149*^39, 2.87152074888043*^39}}
{3981.0717055349733, {1.9789266922642324*^33, 6.190803579841489*^25, 9.183149537686608*^32, 3.5417097061035183*^25, 1.0140512057820467*^40, 1.0112947837832869*^40, 1.0536812697015648*^38, 5.089255214610488*^38, 3.917919101196392*^39, 1.8126840973375885*^39}}
{6309.573444801937, {1.248860675068068*^33, 1.5553645237166206*^25, 5.79530756592487*^32, 8.898126753230334*^24, 6.399919715116065*^39, 6.382530429668208*^39, 6.650483900815612*^37, 3.2118172622097055*^38, 2.4726461304503973*^39, 1.144075642666367*^39}}
{10000., {7.880743200884385*^32, 3.907382473481222*^24, 3.657042604197986*^32, 2.2353864446737438*^24, 4.038749017310797*^39, 4.02777811486205*^39, 4.1970495908916493*^37, 2.0268041320269994*^38, 1.560375667537137*^39, 7.220020278608927*^38}}
{15848.93192461114, {4.972797060600821*^32, 9.815667284772698*^23, 2.3076173566095544*^32, 5.615477610571055*^23, 2.548546172732631*^39, 2.541624405812194*^39, 2.648508849394334*^37, 1.2789402139762237*^38, 9.846266258160524*^38, 4.556078647326926*^38}}
{25118.864315095823, {3.1377758182625322*^32, 2.4657056001547845*^23, 1.4560795729921106*^32, 1.4106140565314088*^23, 1.608130565582259*^39, 1.603763375884864*^39, 1.6712349467727165*^37, 8.070018195441183*^37, 6.212956856948612*^38, 2.8749118977347996*^38}}
{39810.71705534977, {1.97986240015016*^32, 6.193764883079292*^22, 9.187525262198814*^31, 3.543413019866526*^22, 1.0147003331512103*^39, 1.0119486034906899*^39, 1.0545069950991785*^37, 5.092011498051366*^37, 3.920255358443377*^38, 1.814030734002119*^38}}
{63095.73444801943, {1.2491602417333438*^32, 1.5558292106790276*^22, 5.797012398607308*^31, 8.900819371109371*^21, 6.401132668557172*^38, 6.384971594072596*^38, 6.649577733129913*^36, 3.2126375401843494*^37, 2.4732486443730824*^38, 1.1444789774647487*^38}}
{100000., {7.872037376980806*^31, 3.9075343480885907*^21, 3.656711609475195*^31, 2.2356838602810744*^21, 4.025912249876762*^38, 4.0260475006859845*^38, 4.170847768621199*^36, 2.0237744673000977*^37, 1.5570629933786193*^38, 7.208006503477471*^37}}
{158489.3192461114, {4.9188884656854015*^31, 9.794299044540457*^20, 2.2991058077525534*^31, 5.609641343376611*^20, 2.4896585706192478*^38, 2.5241994953213627*^38, 2.5573148416198372*^36, 1.2618031795634016*^37, 9.676742364117868*^37, 4.490004003459026*^37}}
