{1584.893192461114, {4.594860296985206*^32, 9.610832397148373*^25, 1.4616463873785535*^33, 3.735719508172143*^26, 1.7786231839238565*^39, 1.8417147050658053*^39, 1.2660848745137358*^37, 1.08108443484738*^38, 7.526389671767834*^38, 2.6209915696843213*^38}}
{2511.886431509582, {2.9005132333198408*^32, 2.415263160019837*^25, 9.226678392435597*^32, 9.38810966147485*^25, 1.1230028145823052*^39, 1.1628308784432271*^39, 7.997151967146065*^36, 6.824860337612664*^37, 4.75173610058932*^38, 1.6551969929559514*^38}}
{3981.0717055349733, {1.8306388630621454*^32, 6.06866025698224*^24, 5.823358544582437*^32, 2.3588851008856303*^25, 7.08872619179326*^38, 7.340103734970587*^38, 5.049327132832172*^36, 4.307661210021711*^37, 2.9993001556535707*^38, 1.0449415912285965*^38}}
{6309.573444801937, {1.1552695964512725*^32, 1.524662850694205*^24, 3.674975048501196*^32, 5.926358829881197*^24, 4.473901593817647*^38, 4.632541680601408*^38, 3.18729041562833*^36, 2.7185341200947177*^37, 1.8928914074753837*^38, 6.595457293586271*^37}}
{10000., {7.290112765431197*^31, 3.8302306011237806*^23, 2.3190249444945854*^32, 1.488809555435614*^24, 2.8233259869300426*^38, 2.9234337025562214*^38, 2.0115940865635333*^36, 1.715511481078684*^37, 1.1945172870569657*^38, 4.1623767982101255*^37}}
{15848.93192461114, {4.600090387834847*^31, 9.621818611359569*^22, 1.463314298846564*^32, 3.739998723985851*^23, 1.7815913533950382*^38, 1.844760018715617*^38, 1.2694489347236144*^36, 1.082507109756191*^37, 7.53762541522142*^37, 2.6266502420010384*^37}}
{25118.864315095823, {2.902596262206603*^31, 2.417004782567517*^22, 9.233320938168487*^31, 9.394892988780741*^22, 1.1241850136655347*^38, 1.1640438048925198*^38, 8.010549827089056*^35, 6.83052666287602*^36, 4.756211147566818*^37, 1.6574508517470446*^37}}
{39810.71705534977, {1.8314672090032444*^31, 6.071420904261026*^21, 5.826003458180942*^31, 2.3599603043084865*^22, 7.093393897742968*^37, 7.344930819083079*^37, 5.0543109263030726*^35, 4.309912254607074*^36, 3.001074484905079*^37, 1.0458346287270403*^37}}
{63095.73444801943, {1.1555169672810987*^31, 1.5250937711432172*^21, 3.6759967721500483*^31, 5.928055132505394*^21, 4.474201774982872*^37, 4.63424322586736*^37, 3.1834356758796254*^35, 2.7191086723584635*^36, 1.8932185990552741*^37, 6.597150245702734*^36}}
{100000.0000000002, {7.278190560802626*^30, 3.8298875470806463*^20, 2.3184203815822503*^31, 1.4888963678087322*^21, 2.807898214484664*^37, 2.9200178039639888*^37, 1.9779457245235836*^35, 1.711366081943104*^36, 1.1902037408755175*^37, 4.1436883845838746*^36}}
{158489.3192461114, {4.525681898013334*^30, 9.578828048917011*^19, 1.4540303156597784*^31, 3.730136800225986*^20, 1.7172847522455576*^37, 1.818781122846978*^37, 1.1762020867035497*^35, 1.0597876400071555*^36, 7.330931311749363*^36, 2.543019598050329*^36}}
{251188.6431509582, {2.69868570253992*^30, 2.342900144762902*^19, 8.876365638903249*^30, 9.187033733717207*^19, 9.889127926745378*^36, 1.0882504437216638*^37, 6.491467134836706*^34, 6.2581810556977786*^35, 4.279431672077519*^36, 1.4741659736684042*^36}}
{398107.17055349774, {1.4962624996816584*^30, 5.419340963815875*^18, 5.09763297654194*^30, 2.153736434973118*^19, 5.245635384862542*^36, 6.058095371790545*^36, 3.295284092827825*^34, 3.423793647406771*^35, 2.307067825239112*^36, 7.881490065752607*^35}}
{630957.3444801943, {7.633489614487551*^29, 1.1567388869376517*^18, 2.6966297763229174*^30, 4.671200568865027*^18, 2.5672744607992837*^36, 3.1015049347468886*^36, 1.5546432622981637*^34, 1.724008488750272*^35, 1.1457532983216209*^36, 3.8848434213334545*^35}}
{1.0000000000000021*^6, {3.617059626605469*^29, 2.2757965461887274*^17, 1.3168796937908987*^30, 9.323539756053165*^17, 1.1771069302223147*^36, 1.4734328618289175*^36, 6.93744763026743*^33, 8.082774758583726*^34, 5.313136368892393*^35, 1.7910299345602833*^35}}
{1.5848931924611174*^6, {1.6193100625833883*^29, 4.185571815564027*^16, 6.028407820213027*^29, 1.7339095838742643*^17, 5.146239989229548*^35, 6.6087964013996416*^35, 2.9771733204190126*^33, 3.5907519529798904*^34, 2.3417919757990155*^35, 7.862610225386206*^34}}
{2.5118864315095823*^6, {6.963539874446123*^28, 7.32428865780679*^15, 2.632751036630321*^29, 3.0581362775066976*^16, 2.177470736493277*^35, 2.84582518184008*^35, 1.2460382481740169*^33, 1.5360295176162208*^34, 9.960617332216492*^34, 3.3368275961364574*^34}}
{3.9810717055349774*^6, {2.914127879397137*^28, 1.2382660195292952*^15, 1.1131777739340681*^29, 5.197775295762251*^15, 9.015086912581517*^34, 1.1930374663412283*^35, 5.1284823480713285*^32, 6.405908052164733*^33, 4.140196168403549*^34, 1.3846279575392*^34}}
{6.309573444801942*^6, {1.197855328003023*^28, 2.0458701698375022*^14, 4.606626968793537*^28, 8.617928080032986*^14, 3.6891900857140917*^34, 4.898498627036046*^34, 2.0655436187612444*^32, 2.626194723861611*^33, 1.6940770251304852*^34, 5.648798695993882*^33}}
{1.*^7, {4.866974306490951*^27, 3.3298345578495773*^13, 1.8798418460286976*^28, 1.4058283338727203*^14, 1.4884796852392687*^34, 2.0070941161355282*^34, 8.550371444193221*^31, 1.0682952799850768*^33, 6.878623011763423*^33, 2.3234172529775525*^33}}
{1.5848931924611142*^7, {1.9628212130761296*^27, 5.367418835971899*^12, 7.602338794734979*^27, 2.2693762100266812*^13, 5.98579016137542*^33, 8.058032495780941*^33, 3.2499061624314336*^31, 4.281769981733472*^32, 2.7557892336264335*^33, 9.261316277077036*^32}}
{2.5118864315095823*^7, {7.878465781830414*^26, 8.598484458884043*^11, 3.056850677612633*^27, 3.638859396677987*^12, 2.3004498161937149*^33, 3.072774892286884*^33, 1.1724094935359463*^31, 1.7117604449489314*^32, 1.1138612278830763*^33, 3.6267124280712364*^32}}
{3.9810717055349775*^7, {3.1527821353071496*^26, 1.372047820182298*^11, 1.2246511941166548*^27, 5.809892090801205*^11, 1.0208560424703772*^33, 1.2833696871555848*^33, 5.316195010028042*^30, 7.073448056490726*^31, 4.348845385222259*^32, 1.4584824772522377*^32}}
