{158.48931924611142, {5.885433323377256*^30, 9.711088667860568*^24, 3.9327967404649226*^30, 7.96316752913926*^24, 1.6029367208463321*^37, 3.2055276406139824*^37, 1.0737130495738724*^37, 4.793202444267094*^37, 1.9204007947650652*^38, 1.2853312522611278*^38}}
{251.18864315095823, {3.720710389296713*^30, 2.4487346563092177*^24, 2.487593660343782*^30, 2.0085850645586644*^24, 1.0122744521824691*^37, 2.0264907069262607*^37, 6.780619204610966*^36, 3.0291292566630056*^37, 1.2131900871743228*^38, 8.1213476271372865*^37}}
{398.1071705534973, {2.349929134098889*^30, 6.164674534672699*^23, 1.571582181482761*^30, 5.057647647341689*^23, 6.389948473703451*^36, 1.2799334875730317*^37, 4.2803876602419315*^36, 1.9128019721973535*^37, 7.659571933127088*^37, 5.128098234535759*^37}}
{630.9573444801937, {1.483417597997963*^30, 1.5506152892106595*^23, 9.92198995682028*^29, 1.2723750486695558*^23, 4.033809039128516*^36, 8.08078781359407*^36, 2.702454459001194*^36, 1.2074852160995543*^37, 4.835255579237299*^37, 3.2376299019458373*^37}}
{1000., {9.36352628106074*^29, 3.898460687760261*^22, 6.2636321677770015*^29, 3.199186598412419*^22, 2.5456437706423434*^36, 5.100753416972998*^36, 1.7054763481888017*^36, 7.621255826998731*^36, 3.0516373566757776*^37, 2.0434364077768803*^37}}
{1584.893192461114, {5.9094972491228674*^29, 9.798029998631275*^21, 3.953391463133004*^29, 8.040952067726032*^21, 1.606384781254517*^36, 3.219202859062433*^36, 1.0762194394102304*^36, 4.809698912343704*^36, 1.925770636043169*^37, 1.2895722142231102*^37}}
{2511.886431509582, {3.728734642127393*^29, 2.461482260280546*^21, 2.494538912128356*^29, 2.020103437469562*^21, 1.0134737822454528*^36, 2.0311633106281098*^36, 6.789684525533687*^35, 3.034679310609408*^36, 1.2150201271807338*^37, 8.136137280082637*^36}}
{3981.0717055349774, {2.352912136786502*^29, 6.18435645159008*^20, 1.5741548309965658*^29, 5.0755170294703935*^20, 6.394891511677464*^35, 1.2817113506682192*^36, 4.28421758153497*^35, 1.9149135226133097*^36, 7.666761947667927*^36, 5.133953267649935*^36}}
{6309.573444801937, {1.4846824265804371*^29, 1.5536607365529607*^20, 9.933069837707503*^28, 1.2751097495866104*^20, 4.035021160517513*^35, 8.087584623202897*^35, 2.7032405438280763*^35, 1.2082923274566052*^36, 4.8375983329743714*^36, 3.239463281573607*^36}}
{10000., {9.368014411837358*^28, 3.902951297754004*^19, 6.26764689692116*^28, 3.2032287306957423*^19, 2.5458432758857124*^35, 5.103102456704285*^35, 1.705542706388518*^35, 7.623963950529794*^35, 3.052325832338114*^36, 2.043996076001255*^36}}
{15848.93192461114, {5.912261107782458*^28, 9.809539365905603*^18, 3.956304869738451*^28, 8.051137943605885*^18, 1.6052241317240336*^35, 3.2208832485610266*^35, 1.0752013604545424*^35, 4.810933131656192*^35, 1.9256346235192065*^36, 1.2897723287997314*^36}}
{25118.864315095823, {3.722833244500171*^28, 2.4627160502916326*^18, 2.4937234082824524*^28, 2.0213682481702636*^18, 1.0039183971447502*^35, 2.02867478048715*^35, 6.716859806263817*^34, 3.0263729717814693*^35, 1.2090757168974634*^36, 8.107238676593421*^35}}
{39810.71705534977, {2.3185392187960892*^28, 6.166251571910175*^17, 1.561465270728423*^28, 5.0643348919188474*^17, 6.077349711096827*^34, 1.2633493552221783*^35, 4.0524342994501796*^34, 1.874622263066455*^35, 7.425657892837361*^35, 4.997044956822386*^35}}
{63095.73444801943, {1.396046975554184*^28, 1.5208778242568362*^17, 9.515614800616685*^27, 1.2523222364508691*^17, 3.4650907037898676*^34, 7.598497969282087*^34, 2.300140767294837*^34, 1.115267809371372*^35, 4.342231481203424*^35, 2.9413292213534806*^35}}
{100000., {7.905975270373782*^27, 3.610401190945316*^16, 5.490038897171604*^27, 2.989728553988985*^16, 1.822817329606414*^34, 4.285189450299957*^34, 1.2037147168971408*^34, 6.1973558822678555*^34, 2.3556787108285914*^35, 1.6077890585467712*^35}}
