{0.00001, {7.486140002846137*^24, 1.661061546636192*^24, 2.202168806866689*^16, 7.143004418704446*^15, 4.857474035460499*^31, 3.278697069215109*^31, 4.179095479001582*^31, 8.91542641199156*^31, 4.697569702433976*^32, 2.8030373321439117*^32}}
{0.00001584893192461114, {1.8800635079410798*^25, 4.17085492991582*^24, 1.3888524047694555*^17, 4.50418117341127*^16, 1.2199397088413961*^32, 8.234272871821657*^31, 1.0495134961833218*^32, 2.239050781867819*^32, 1.179773980676672*^33, 7.039590683500842*^32}}
{0.000025118864315095822, {4.72103435473124*^25, 1.0470575281652342*^25, 8.756849710924177*^17, 2.8391991117537773*^17, 3.0635437060291486*^32, 2.0677820528698307*^32, 2.63535215326742*^32, 5.622637240999851*^32, 2.962653665711362*^33, 1.767739643488422*^33}}
{0.000039810717055349695, {1.1852847748317575*^26, 2.627648463488347*^25, 5.51899037063953*^18, 1.788670952383344*^18, 7.692065703606071*^32, 5.191750798653026*^32, 6.616099006674149*^32, 1.4117044530358374*^33, 7.438648289292214*^33, 4.438270160639692*^33}}
{0.00006309573444801929, {3.0005412586787896*^26, 6.6710758812048305*^25, 3.51789070182011*^19, 1.1389994251116292*^19, 1.9380048843197776*^33, 1.305572160709298*^33, 1.6671856753828622*^33, 3.5644843620063096*^33, 1.8756997782894208*^34, 1.1167803552144334*^34}}
{0.0001, {7.527694978293144*^26, 1.6718094105494705*^26, 2.213406708580859*^20, 7.159117573486078*^19, 4.862959909145935*^33, 3.27583446522616*^33, 4.1820576981916777*^33, 8.943437276859626*^33, 4.706463245626133*^34, 2.801911738850275*^34}}
{0.00015848931924611142, {1.88717056820956*^27, 4.183980000456166*^26, 1.3903656580544793*^21, 4.4897925518379083*^20, 1.2194990286670373*^34, 8.214168610142751*^33, 1.048213784088255*^34, 2.2424623282079323*^34, 1.1801917854912165*^35, 7.02492571959511*^34}}
{0.0002511886431509582, {4.7792973887235513*^27, 1.0620496562299782*^27, 8.85397842521625*^21, 2.8516128330202727*^21, 3.0802707951958497*^34, 2.0727862164918088*^34, 2.648478228698764*^34, 5.670944979429913*^34, 2.982350854703627*^35, 1.7733654558733465*^35}}
{0.00039810717055349735, {1.1971615456770775*^28, 2.656815008348999*^27, 5.565743176243779*^22, 1.794042925935867*^22, 7.727694715534356*^34, 5.203125479610186*^34, 6.643253894106632*^34, 1.4217043381700806*^35, 7.48002161572933*^35, 4.450513998674386*^35}}
{0.000630957344480193, {2.992365258119271*^28, 6.591480708501966*^27, 3.457195022397793*^23, 1.1067262769801387*^23, 1.9347865836578454*^35, 1.3024314518102533*^35, 1.6597118648131204*^35, 3.556828224351725*^35, 1.8722351954077061*^36, 1.1133937479919082*^36}}
{0.001, {7.608322310131606*^28, 1.6888001831999233*^28, 2.2265663979579203*^24, 7.139155500468676*^23, 4.942824949308799*^35, 3.3385737985879294*^35, 4.2538875906482455*^35, 9.066969023057573*^35, 4.7790732947357844*^36, 2.8538735197967866*^36}}
