{158.48931924611142, {5.083575249608165*^25, 5.1321864316321505*^19, 5.083446883947136*^25, 5.132133587149334*^19, 5.911171700695474*^36, 1.7692134433969618*^37, 5.911022955026622*^36, 1.7692580673589698*^37, 7.085214397944264*^37, 7.085035902163033*^37}}
{251.18864315095823, {3.210308513899616*^25, 1.2916629748902992*^19, 3.210227513543952*^25, 1.2916496894045434*^19, 3.728977241294786*^36, 1.1168731192496483*^37, 3.728883380841211*^36, 1.1169012775358726*^37, 4.471187702202292*^37, 4.471075069643733*^37}}
{398.1071705534973, {2.026822031123473*^25, 3.2487761455894984*^18, 2.026770914473854*^25, 3.2487427532848543*^18, 2.3536197158811574*^36, 7.05069510708543*^36, 2.3535604835706187*^36, 7.0508728038073*^36, 2.822346089118842*^37, 2.822275010294648*^37}}
{630.9573444801937, {1.2794800070375998*^25, 8.168707508407311*^17, 1.279447751150686*^25, 8.168623588629012*^17, 1.485279215375791*^36, 4.4504210145927416*^36, 1.4852418383879054*^36, 4.450533145715833*^36, 1.78127408270511*^37, 1.781229230357346*^37}}
{1000., {8.07553038862692*^24, 2.0531799814232506*^17, 8.075326853947263*^24, 2.0531588950495517*^17, 9.372457379466906*^35, 2.8087164699473437*^36, 9.372221531711862*^35, 2.8087872248059254*^36, 1.1241048688355958*^37, 1.124076566932104*^37}}
{1584.893192461114, {5.096253918880839*^24, 5.159274235703772*^16, 5.096125492895905*^24, 5.159221259368742*^16, 5.9139695150657204*^35, 1.7724327201797016*^36, 5.9138206336672975*^35, 1.7724773710944713*^36, 7.09333645401855*^36, 7.09315777558867*^36}}
{2511.886431509582, {3.215921020309751*^24, 1.2962747936809832*^16, 3.2158399869578444*^24, 1.296261484962694*^16, 3.731612722840036*^35, 1.1184377294367449*^36, 3.731518977697518*^35, 1.118465896709233*^36, 4.475899638177801*^36, 4.475786971894346*^36}}
{3981.0717055349774, {2.029254353520694*^24, 3.256581264136388*^15, 2.029203224839563*^24, 3.256547831749441*^15, 2.3545266657301336*^35, 7.057241789168403*^35, 2.3544675158370083*^35, 7.057419512613135*^35, 2.824200557214918*^36, 2.824129648475727*^36}}
{6309.573444801937, {1.280394580712752*^24, 8.180692633657302*^14, 1.2803623226768905*^24, 8.180608653728251*^14, 1.485532098962414*^35, 4.452828533492094*^35, 1.4854947421710507*^35, 4.452940484544297*^35, 1.7819230120415866*^36, 1.7818780356891756*^36}}
{10000., {8.079606973830915*^23, 2.05577063321656*^14, 8.079403487275289*^23, 2.0557495353604003*^14, 9.366176741884079*^34, 2.809592186098861*^35, 9.365934294738813*^34, 2.809663425197094*^35, 1.1241368784430737*^36, 1.1241083947167571*^36}}
{15848.93192461114, {5.09623125457752*^23, 5.164042446086853*^13, 5.096103036641252*^23, 5.1639894345946875*^13, 5.86898811387662*^34, 1.771137411752034*^35, 5.8688355400097255*^34, 1.7711821370037864*^35, 7.075678938572792*^35, 7.075496495883042*^35}}
