{158.48931924611142, {3.2787943184807773*^22, 6.699064407442172*^11, 1.993335506449316*^22, 4.6269095749696643*^11, 1.2759036700845742*^39, 1.2759068001877064*^39, 1.2759021805484297*^39, 1.2759112688550447*^39, 1.0207244558319741*^40, 1.0207226683726702*^40}}
{251.18864315095823, {2.071077200973836*^22, 1.6847237914616248*^11, 1.2591456073791562*^22, 1.1636277728198528*^11, 8.060028041346563*^38, 8.060047814151351*^38, 8.060018632885469*^38, 8.060076039463267*^38, 6.448032032628621*^39, 6.448020742551835*^39}}
{398.1071705534973, {1.3076779155949116*^22, 4.235002898597798*^10, 7.95039942295089*^21, 2.925125199843244*^10, 5.089371486923766*^38, 5.0893839721952304*^38, 5.089365546831563*^38, 5.089401792963159*^38, 4.071503250724083*^39, 4.0714961225046677*^39}}
{630.9573444801937, {8.25454310297646*^21, 1.0642873755420805*^10, 5.01864597968389*^21, 7.351112255528363*^9, 3.2127060468833018*^38, 3.2127139280130966*^38, 3.2127022974157787*^38, 3.2127251778035104*^38, 2.5701686634585475*^39, 2.5701641642842227*^39}}
{1000., {5.209720094724307*^21, 2.674166453049179*^9, 3.1674611570455997*^21, 1.847075828260757*^9, 2.0276899632491716*^38, 2.0276949375858885*^38, 2.0276875967907718*^38, 2.027702036730327*^38, 1.6221543852608803*^39, 1.6221515456260335*^39}}
{1584.893192461114, {3.287690880621707*^21, 6.718466919414878*^8, 1.9988951837431075*^21, 4.640532572039222*^8, 1.2796286394855015*^38, 1.2796317778131844*^38, 1.2796271456719354*^38, 1.279636259705967*^38, 1.023704436090443*^39, 1.0237026427320931*^39}}
{2511.88643150958, {2.074623570171715*^21, 1.687803061885773*^8, 1.2613618774235433*^21, 1.165789842329639*^8, 8.074877635398699*^37, 8.074897461558475*^37, 8.074868253724325*^37, 8.074925750657702*^37, 6.4599117552372634*^38, 6.4599004475332476*^38}}
{3981.0717055349774, {1.309090904282044*^21, 4.239887401605496*^7, 7.959229908958353*^20, 2.9285548253550638*^7, 5.095288319914921*^37, 5.095300840789793*^37, 5.09528238315278*^37, 5.095318657209989*^37, 4.076236727625974*^38, 4.076229604934787*^38}}
{6309.573444801943, {8.26017113878702*^20, 1.065061936087737*^7, 5.022163281278633*^20, 7.356550824140116*^6, 3.2150627768270436*^37, 3.2150707102477*^37, 3.2150590509556585*^37, 3.215081963366643*^37, 2.5720541249023928*^38, 2.5720495800114632*^38}}
{10000.00000000002, {5.211960123102391*^20, 2.675394417826744*^6, 3.1688614072241724*^20, 1.8479380588836297*^6, 2.0286279367990263*^37, 2.0286334084333112*^37, 2.0286255744063073*^37, 2.0286406566514726*^37, 1.6229051154973113*^38, 1.6229023270466381*^38}}
{15848.93192461114, {3.288573504779173*^20, 672041.1456267813, 1.999449189440515*^20, 464189.84812042967, 1.2799919827703096*^37, 1.2800049824394497*^37, 1.279990416087869*^37, 1.2800095192308003*^37, 1.0240018477451802*^38, 1.0240000038588678*^38}}
