{158.48931924611142, {4.0446283964680475*^31, 3.693333178733725*^25, 2.508875267306945*^31, 2.5782690713388*^25, 8.339630651165132*^38, 9.283358877993636*^38, 7.923394814752852*^38, 1.0532068805170194*^39, 7.110191592735115*^39, 6.610707863555791*^39}}
{251.18864315095823, {2.555072742828616*^31, 9.288976603196836*^24, 1.5849420931094238*^31, 6.484612272269657*^24, 5.2696679886739864*^38, 5.865869166666887*^38, 5.006732713390744*^38, 6.654675600645698*^38, 4.492735772715204*^39, 4.177213259975272*^39}}
{398.1071705534973, {1.6133725284083825*^31, 2.3351501431267517*^24, 1.0008083213779058*^31, 1.630177848346896*^24, 3.3280142269385126*^38, 3.70449046188655*^38, 3.161990380266687*^38, 4.2025621555826945*^38, 2.83732093209301*^39, 2.6380922700324554*^39}}
{630.9573444801937, {1.01845980634871*^31, 5.868590898990959*^23, 6.317772863258761*^30, 4.0969112659347056*^23, 2.101062206911114*^38, 2.338721719900574*^38, 1.9962592618160612*^38, 2.6531305929098065*^38, 1.7912634339038365*^39, 1.6654998882148283*^39}}
{1000., {6.428001522302108*^30, 1.4745927025855348*^23, 3.9874800568708984*^30, 1.0294290209861496*^23, 1.3261695892646136*^38, 1.476170042006903*^38, 1.26002388920998*^38, 1.6746071501501786*^38, 1.1306231807796514*^39, 1.0512483382932278*^39}}
{1584.893192461114, {4.0565733075030234*^30, 3.704753577289021*^22, 2.516421697228956*^30, 2.586334337815135*^22, 8.369512015476478*^37, 9.31613983497848*^37, 7.952083152001793*^37, 1.0568426424320578*^38, 7.135392496012625*^38, 6.634477847063316*^38}}
{2511.88643150958, {2.5598347651046525*^30, 9.307100039667186*^21, 1.587950633641903*^30, 6.497411320204164*^21, 5.281580698920166*^37, 5.87893772391656*^37, 5.018169945689812*^37, 6.669169960876165*^37, 4.5027824006812295*^38, 4.1866895050073015*^38}}
{3981.0717055349774, {1.6152700018665458*^30, 2.3380248516237155*^21, 1.0020071133776878*^30, 1.6322080104516784*^21, 3.3327609629276574*^37, 3.7096977299303823*^37, 3.1665476990497025*^37, 4.208337535355516*^37, 2.8413240877818302*^38, 2.6418681674754078*^38}}
{6309.573444801943, {1.0192156262353667*^30, 5.873149345427907*^20, 6.3225480325211264*^29, 4.1001305079658263*^20, 2.102952944435971*^37, 2.3407959225626424*^37, 1.9980745862510542*^37, 2.655431046925137*^37, 1.7928580107079643*^38, 1.6670039616194437*^38}}
{10000.00000000002, {6.431011523356009*^29, 1.4753154018569665*^20, 3.9893817611902684*^29, 1.0299394017898771*^20, 1.3269225477634843*^37, 1.4769961164945779*^37, 1.2607467191319708*^37, 1.6755233661551763*^37, 1.1312581889251937*^38, 1.0518473370822111*^38}}
{15848.93192461114, {4.0577691316876*^29, 3.705899155380491*^19, 2.5171786546309372*^29, 2.587143388620249*^19, 8.372473838093596*^36, 9.319427163053065*^36, 7.954916050819885*^36, 1.0572067883301179*^37, 7.13791129891631*^37, 6.636857181967875*^37}}
{25118.864315095823, {2.560255001224172*^29, 9.308905119423074*^18, 1.588241883997831*^29, 6.49869032379238*^18, 5.282236634576709*^36, 5.88020022704087*^36, 5.0187350850802554*^36, 6.670491611746233*^36, 4.503623364654815*^37, 4.1875341415564585*^37}}
{39810.71705534977, {1.614969526973262*^29, 2.3382453191742505*^18, 1.0019994823337424*^29, 1.6323849676381486*^18, 3.3290026836338793*^36, 3.709678601426522*^36, 3.162732653900784*^36, 4.207782442627724*^36, 2.8403451038805215*^37, 2.6412551928439666*^37}}
{63095.73444801943, {1.0168916464478512*^29, 5.871515791929334*^17, 6.314803666851927*^28, 4.099488333057097*^17, 2.0828154010173392*^36, 2.3373764721555785*^36, 1.978271313884827*^36, 2.649609879606042*^36, 1.785703605511018*^37, 1.6613288246477807*^37}}
