{1584.893192461114, {6.191123699487979*^33, 8.254236003721652*^27, 3.9366631277141055*^34, 6.2265844228030636*^28, 2.387241877308913*^40, 4.934600404801342*^40, 3.3576482558391134*^38, 1.454765780786974*^39, 1.0114826922435764*^40, 6.986461910743839*^39}}
{2511.886431509582, {3.912421756477424*^33, 2.0801552406932987*^27, 2.488667867578082*^34, 1.5696290672398928*^28, 1.5073104410014402*^40, 3.118256554228976*^40, 2.120009033841805*^38, 9.190643880797838*^38, 6.388341318507132*^39, 4.413047401671151*^39}}
{3981.0717055349733, {2.4709269847686767*^33, 5.2356586834234264*^26, 1.5721077599041835*^34, 3.9514107321826805*^27, 9.514693113940696*^39, 1.969336152690695*^40, 1.3382313102151512*^38, 5.803448181093596*^38, 4.033241857190624*^39, 2.786373752662379*^39}}
{6309.573444801937, {1.5599886589988525*^33, 1.3168131239354164*^26, 9.9267631426025*^33, 9.93928641091244*^26, 6.005042110558968*^39, 1.2433043174050546*^40, 8.446044873149931*^37, 3.663539441612413*^38, 2.5457883163476163*^39, 1.758851884526649*^39}}
{10000., {9.846605014719242*^32, 3.3103437805584024*^25, 6.266326341730786*^33, 2.498824997852292*^26, 3.789593312697036*^39, 7.847657297964497*^39, 5.330040830522081*^37, 2.312258723776116*^38, 1.6066761285811026*^39, 1.1100668520477681*^39}}
{15848.93192461114, {6.27030476953706*^32, 8.129889566341428*^24, 3.9620430049683903*^33, 6.103119095126794*^25, 2.3822766564555497*^39, 4.9309673155075087*^39, 3.3071348524436003*^37, 1.4661475688601436*^38, 1.0143833308045031*^39, 6.931273219934574*^38}}
{25118.864315095823, {3.9568885147067176*^32, 2.0427852548751455*^24, 2.5003486225556273*^33, 1.5335671636647177*^25, 1.5032191939122105*^39, 3.1116925070191344*^39, 2.0868065722653912*^37, 9.251907070147797*^37, 6.4009436359836306*^38, 4.3738163164677206*^38}}
{39810.71705534977, {2.4968642794249604*^32, 5.132274104017421*^23, 1.57779989199602*^33, 3.852991598709749*^24, 9.485086995981187*^38, 1.9635293942113804*^39, 1.3167438253458103*^37, 5.838013203150212*^37, 4.038968250655162*^38, 2.7598821104478428*^38}}
{63095.73444801943, {1.575508938937096*^32, 1.2893321744049289*^23, 9.955987082844886*^32, 9.679616938878045*^23, 5.984844328849517*^38, 1.2389765405532546*^39, 8.308263612757909*^36, 3.6837178998328547*^37, 2.5485138017199835*^38, 1.741442983994063*^38}}
{100000., {9.941117890513432*^31, 3.2389168714309467*^22, 6.2820967964221694*^32, 2.4316242727652496*^23, 3.775969002953675*^38, 7.817672032092862*^38, 5.24110859466617*^36, 2.3243144024976196*^37, 1.6079971345720726*^38, 1.0987740458054307*^38}}
{158489.3192461114, {6.27138800516755*^31, 8.136111854886324*^21, 3.963634919471646*^32, 6.1082820176462725*^22, 2.3792853369833803*^38, 4.93187867195753*^38, 3.298985253638488*^36, 1.4660695637910907*^37, 1.0139307244319622*^38, 6.928689650268669*^37}}
