{0.00001, {9.683490419169928*^30, 4.5834891260786664*^30, 1.0650003066454192*^22, 5.850009966608052*^21, 3.7232985797057596*^37, 1.7626823054466545*^37, 1.0760605456058368*^36, 2.273238951151398*^36, 1.5790657736632552*^37, 7.475135220173871*^36}}
{0.00001584893192461114, {1.5348198466073645*^31, 7.264781131036081*^30, 4.240152541720738*^22, 2.3291250170416415*^22, 5.901706083576904*^37, 2.7941618574951617*^37, 1.7056113065978096*^36, 3.6031192755184794*^36, 2.5028910516098094*^37, 1.1848944161878914*^37}}
{0.000025118864315095822, {2.432739736490214*^31, 1.151488903272619*^31, 1.688194536685588*^23, 9.27335567637873*^22, 9.355335863163363*^37, 4.429766071002033*^37, 2.703634267435049*^36, 5.711252905562498*^36, 3.9674293584949056*^37, 1.878357141188388*^37}}
{0.000039810717055349695, {3.8562108790165318*^31, 1.8252738900995502*^31, 6.722115300959025*^23, 3.692604897488838*^23, 1.4831669657935875*^38, 7.024047923141714*^37, 4.28610091015049*^36, 9.053538879505269*^36, 6.289527432255951*^37, 2.978096424732464*^37}}
{0.00006309573444801929, {6.113039223729444*^31, 2.893533636612838*^31, 2.6768720860093586*^24, 1.4705231634513375*^24, 2.3517124197868468*^38, 1.114023522993974*^38, 6.795661561505252*^36, 1.4353155079285835*^37, 9.971938882814316*^37, 4.722553694144058*^37}}
{0.0001, {9.691977350509437*^31, 4.587621794112687*^31, 1.0661493250499683*^25, 5.85717233936691*^24, 3.729912051066687*^38, 1.7676219074529724*^38, 1.0777125205329633*^37, 2.2759130780636713*^37, 1.5813971784545367*^38, 7.491349650099404*^37}}
{0.00015848931924611142, {1.5369697164495619*^32, 7.275339994037767*^31, 4.247575571405695*^25, 2.333770564753465*^25, 5.918309145652797*^38, 2.8065595069369202*^38, 1.709786952874543*^37, 3.609862902953402*^37, 2.5087537828448043*^38, 1.1889735648870243*^38}}
{0.0002511886431509582, {2.438134775412614*^32, 1.154146365267203*^32, 1.6929066740530688*^26, 9.302918237845789*^25, 9.396854134412204*^38, 4.460761098023355*^38, 2.7141014715554887*^37, 5.728146211753695*^37, 3.982100682946504*^38, 1.888565145555113*^38}}
{0.00039810717055349735, {3.869705432657136*^32, 1.8319115632741035*^32, 6.751628745519018*^26, 3.711102081942574*^26, 1.4935588253575812*^39, 7.101610074805783*^38, 4.312274158827877*^37, 9.09580775355026*^37, 6.326244230986749*^38, 3.003633658386055*^38}}
{0.000630957344480193, {6.1469061125720425*^32, 2.910171819570005*^32, 2.6954267844295225*^27, 1.4821418675226454*^27, 2.3778107654951496*^39, 1.1335000638963286*^39, 6.861336881694103*^37, 1.4459272176496992*^38, 1.006413648745405*^39, 4.7866621013124455*^38}}
{0.001, {9.777604603331258*^32, 4.62982381346645*^32, 1.077997165690046*^28, 5.931461962567559*^27, 3.7954322797739424*^39, 1.8164539883615906*^39, 1.094254241428541*^38, 2.3026480664676086*^38, 1.6045759424024896*^39, 7.65234121657417*^38}}
{0.001584893192461114, {1.5587812845209346*^33, 7.383456128784253*^32, 4.324191353780148*^28, 2.381952731975606*^28, 6.084224888588875*^39, 2.930211704208803*^39, 1.751867086828409*^38, 3.67776278573223*^38, 2.5675171618784556*^39, 1.2298049841241544*^39}}
{0.002511886431509582, {2.4927199264917793*^33, 1.1810784695008694*^33, 1.740631414575382*^29, 9.602276992466897*^28, 9.8132724710894*^39, 4.770968318725905*^39, 2.8193581769353377*^38, 5.898309341482328*^38, 4.129493897316729*^39, 1.9908839021096923*^39}}
{0.003981071705534973, {4.0061041132084156*^33, 1.8989205062429745*^33, 7.047386518013212*^29, 3.8957108244784404*^29, 1.597747175718708*^40, 7.87712619446056*^39, 4.574867328835877*^38, 9.521260449871566*^38, 6.69490301437984*^39, 3.25920810896216*^39}}
{0.006309573444801936, {6.498963342890686*^33, 3.085536015303134*^33, 2.8924902965026164*^30, 1.606165944298993*^30, 2.6405643773726404*^40, 1.3284862714032794*^40, 7.532155007453426*^38, 1.5544752758202548*^39, 1.0998138405235442*^40, 5.4327925262502645*^39}}
{0.01, {1.066869445344893*^34, 5.074372997420618*^33, 1.203660772748774*^31, 6.723307696775923*^30, 4.455567926931986*^40, 2.3055829994954166*^40, 1.263177095077182*^39, 2.5763475286338028*^39, 1.8395432539710692*^40, 9.274864009210457*^39}}
{0.01584893192461114, {1.7890444071849182*^34, 8.537460922562985*^33, 5.140772851016602*^31, 2.895788928299766*^31, 7.767385675948495*^40, 4.1745865939418634*^40, 2.1848732881398985*^39, 4.3802094894297564*^39, 3.168073587022902*^40, 1.6434723641132037*^40}}
{0.025118864315095822, {3.1020231243190113*^34, 1.4913861689636897*^34, 2.297541808459661*^32, 1.3130335865136993*^32, 1.4134630320800528*^41, 7.955109636112074*^40, 3.949191117752991*^39, 7.729177308540013*^39, 5.680215064146258*^40, 3.055822991287537*^40}}
